,Bacteria,Relative Risk,95% CI Lower,95% CI Upper,p-value,PARP,previous_report
60,Lacrimispora saccharolytica,0.9377825907360476,0.7005017829569966,1.255437471943739,0.6660431466165113,-0.029972038825218726,-
81,[Clostridium] innocuum,0.92796432469322,0.7252877467282985,1.1872774520013074,0.5520929466108062,-0.049680989840053424,-
83,[Ruminococcus] gnavus,0.9076340130222541,0.8440903759488447,0.9759612537565608,0.008869972145146742,-0.8160064307514345,good_species
36,Escherichia marmotae,0.9059964241507358,0.4740918287506704,1.7313724278627092,0.7651228708773526,-0.009765253171867815,-
64,Phocaeicola dorei,0.9014166531231377,0.6459218743676853,1.2579725424582557,0.5416355744958582,-0.03911350390632623,-
9,Bacteroides uniformis,0.8930622025231926,0.6708262029142651,1.1889220995106358,0.4385321579313344,-0.05860271032691765,good_species
78,Veillonella atypica,0.8858637423583537,0.42661416128499174,1.8394948907964328,0.7451187313329233,-0.009700906223198306,bad_species
67,Qiania dongpingensis,0.8585506506427879,0.6383922425517595,1.1546337354802543,0.31304924552402436,-0.0775299609914098,-
68,Roseburia hominis,0.8542263029975695,0.3630665886914687,2.0098312526162836,0.7181561986705199,-0.009636583685053168,good_species
2,Anaerostipes caccae,0.8539778721562473,0.5565642811847143,1.31032161205199,0.4698985233268419,-0.0386232175265264,good_genus
65,Phocaeicola vulgatus,0.8539324035382612,0.795636599173989,0.916499505640729,1.2040806989897881e-05,-1.5164312355277165,good_species
5,Bacteroides fragilis,0.8462780634641917,0.69445875453678,1.031287396151288,0.09801316834977494,-0.19489031580976876,-
51,Gemella morbillorum,0.8390778270178758,0.4950718137398083,1.4221201455089587,0.5145434749907065,-0.02888011616959261,-
30,Enterocloster bolteae,0.8294503613541271,0.6435601890369294,1.0690342778661426,0.14864375431918703,-0.1354634217739876,-
21,Clostridium sp. M62/1,0.805750319284802,0.6744371293023759,0.9626302420495658,0.017332586388365833,-0.331263158657025,-
72,Schaalia odontolytica,0.7972017394592551,0.3730746956228066,1.703494289088448,0.5585358311367475,-0.01915364530691761,-
45,Faecalibacterium sp. IP329,0.7971250236428978,0.42877167569922764,1.4819269539702828,0.47356596038005405,-0.028744092199342163,good_genus
84,[Ruminococcus] torques,0.7966635071090048,0.5567338370939001,1.1399931192832704,0.21374271506567843,-0.08647832927458338,-
38,Eubacterium sp. c-25,0.7958119169998097,0.625505970207915,1.012486910442119,0.06303303911804847,-0.19318464875461094,-
16,Blautia producta,0.7660244265018802,0.5147963356513837,1.139855475573755,0.18870104422181033,-0.0862409527309975,good_genus
15,Blautia massiliensis,0.7633962585034014,0.6032927605579084,0.9659884646354101,0.02456941434319025,-0.2508602081882057,good_genus
73,Sellimonas intestinalis,0.7147089139148692,0.5768893300181298,0.8854537691194928,0.0021192030692941993,-0.4057345760108428,-
27,Dorea longicatena,0.7007757065195319,0.5799085219939555,0.8468345820464901,0.0002322171575797106,-0.5626037073548756,-
59,Lachnospira eligens,0.6992176762871339,0.5409252711011251,0.9038316103020063,0.006294419254240617,-0.3076906771595774,good_genus
82,[Clostridium] scindens,0.6867832409746292,0.41570632231147187,1.1346260443212877,0.14240970191636843,-0.08584592674968701,-
58,Lachnoclostridium sp. YL32,0.6827278383423053,0.4314041757883521,1.0804654368395248,0.10320056498686576,-0.10496866790065365,-
71,Ruthenibacterium lactatiformans,0.6638909916729749,0.3892976245478639,1.132170403907348,0.13254347386395213,-0.08576701163778506,-
3,Anaerostipes hadrus,0.6421638932568414,0.48259441863189556,0.8544948923607992,0.002375052622021848,-0.33564380533901905,good_genus
40,Faecalibacterium sp. I2392,0.629070311488955,0.32444236150763434,1.2197219097959842,0.1700550214180565,-0.06659449894515966,good_genus
41,Faecalibacterium sp. I3333,0.5737738117840642,0.41469320931489867,0.7938793780421497,0.0007985834828372268,-0.3635487776031326,good_genus
39,Faecalibacterium prausnitzii,0.5400269022316266,0.48882733089364316,0.5965890953780123,7.941970075733165e-34,-4.6166949083125175,good_species
77,Turicimonas muris,0.5311817550129045,0.4029417059748619,0.7002354253103598,7.203743031356306e-06,-0.614679855800853,-
4,Bacteroides caccae,0.5287207755179624,0.39273965186675336,0.7117836386919197,2.654987830798929e-05,-0.5368946144558995,good_genus
0,Aggregatibacter aphrophilus,0.49815724815724816,0.14998528772451825,1.6545665755390957,0.25520763718279693,-0.03792506712319101,-
32,Erysipelatoclostridium ramosum,0.48913572688444773,0.31950850588149415,0.7488181219298005,0.0009974220347289471,-0.314547942411567,-
29,Eggerthella lenta,0.44792941406823633,0.3073019340235088,0.6529108273433917,2.947889153605458e-05,-0.4871831616678547,-
61,Lacrimispora sphenoides,0.44472574252700847,0.3621468554211228,0.5461347602651672,1.061154777484817e-14,-1.668562975443782,good_genus
54,Hungatella hathewayi,0.43125430624364314,0.32537005410523456,0.5715961696755728,4.885031470353142e-09,-0.9432979688196022,good_genus
79,Veillonella parvula,0.3985638699924414,0.06904231217140387,2.30080878619743,0.3037593564392944,-0.028404483703262144,bad_species
17,Blautia sp. NBRC 113351,0.3985638699924414,0.06904231217140387,2.30080878619743,0.3037593564392944,-0.028404483703262144,good_genus
43,Faecalibacterium sp. I4179,0.3984501984501984,0.11533565366673287,1.3765263003906272,0.14573856274167457,-0.0568358543454982,good_genus
28,Dysosmobacter welbionis,0.38679215537898853,0.19888570892884325,0.7522318836706865,0.005127741497002327,-0.20889137095561958,-
42,Faecalibacterium sp. I3389,0.3834672507817232,0.31481525718054504,0.4670902348857959,1.6790505197099137e-21,-2.4208883609725067,good_genus
